year,race_name,team,driver,dnf,dnf_reason
2024,Hungarian Grand Prix,sauber,BOT,True,Lapped
2024,Hungarian Grand Prix,sauber,ZHO,True,Lapped
2024,Hungarian Grand Prix,williams,ALB,True,Lapped
2024,Hungarian Grand Prix,williams,SAR,True,Lapped
2024,Italian Grand Prix,alpine,GAS,True,Lapped
2024,Italian Grand Prix,alpine,OCO,True,Lapped
2024,Italian Grand Prix,aston_martin,ALO,False,Finished
2024,Italian Grand Prix,aston_martin,STR,True,Lapped
2024,Italian Grand Prix,ferrari,LEC,False,Finished
2024,Italian Grand Prix,ferrari,SAI,False,Finished
2024,Italian Grand Prix,haas,HUL,True,Lapped
2024,Italian Grand Prix,haas,MAG,False,Finished
2024,Italian Grand Prix,mclaren,NOR,False,Finished
2024,Italian Grand Prix,mclaren,PIA,False,Finished
2024,Italian Grand Prix,mercedes,HAM,False,Finished
2024,Italian Grand Prix,mercedes,RUS,False,Finished
2024,Italian Grand Prix,rb,RIC,False,Finished
2024,Italian Grand Prix,rb,TSU,True,Retired
2024,Italian Grand Prix,red_bull,PER,False,Finished
2024,Italian Grand Prix,red_bull,VER,False,Finished
2024,Italian Grand Prix,sauber,BOT,True,Lapped
2024,Italian Grand Prix,sauber,ZHO,True,Lapped
2024,Italian Grand Prix,williams,ALB,False,Finished
2024,Italian Grand Prix,williams,COL,False,Finished
2024,Japanese Grand Prix,alpine,GAS,True,Lapped
2024,Japanese Grand Prix,alpine,OCO,True,Lapped
2024,Japanese Grand Prix,aston_martin,ALO,False,Finished
2024,Japanese Grand Prix,aston_martin,STR,True,Lapped
2024,Japanese Grand Prix,ferrari,LEC,False,Finished
2024,Japanese Grand Prix,ferrari,SAI,False,Finished
2024,Japanese Grand Prix,haas,HUL,True,Lapped
2024,Japanese Grand Prix,haas,MAG,True,Lapped
2024,Japanese Grand Prix,mclaren,NOR,False,Finished
2024,Japanese Grand Prix,mclaren,PIA,False,Finished
2024,Japanese Grand Prix,mercedes,HAM,False,Finished
2024,Japanese Grand Prix,mercedes,RUS,False,Finished
2024,Japanese Grand Prix,rb,RIC,True,Retired
2024,Japanese Grand Prix,rb,TSU,True,Lapped
2024,Japanese Grand Prix,red_bull,PER,False,Finished
2024,Japanese Grand Prix,red_bull,VER,False,Finished
2024,Japanese Grand Prix,sauber,BOT,True,Lapped
2024,Japanese Grand Prix,sauber,ZHO,True,Retired
2024,Japanese Grand Prix,williams,ALB,True,Retired
2024,Japanese Grand Prix,williams,SAR,True,Lapped
2024,Las Vegas Grand Prix,alpine,GAS,True,Retired
2024,Las Vegas Grand Prix,alpine,OCO,True,Lapped
2024,Las Vegas Grand Prix,aston_martin,ALO,False,Finished
2024,Las Vegas Grand Prix,aston_martin,STR,False,Finished
2024,Las Vegas Grand Prix,ferrari,LEC,False,Finished
2024,Las Vegas Grand Prix,ferrari,SAI,False,Finished
2024,Las Vegas Grand Prix,haas,HUL,False,Finished
2024,Las Vegas Grand Prix,haas,MAG,False,Finished
