season,driver,race_name,round,circuit_type,team,fp1_pos,fp2_pos,fp3_pos,sprint_qualifying_pos,sprint_race_pos,qualifying_pos,race_pos,race_dnf_status,race_classified_position,weighted_performance_score
2024,PER,Shanghai,5,Permanent,Red Bull,4.0,,,,,,,,,0.4
2024,PIA,Shanghai,5,Permanent,McLaren,2.0,,,,,,,,,0.2
2024,RIC,Shanghai,5,Permanent,RB,9.0,,,,,,,Retired,R,0.9
2024,RUS,Shanghai,5,Permanent,Mercedes,17.0,,,,,,,,,1.7000000000000002
2024,SAI,Shanghai,5,Permanent,Ferrari,14.0,,,,,,,,,1.4000000000000001
2024,SAR,Shanghai,5,Permanent,Williams,15.0,,,,,,,,,1.5
2024,STR,Shanghai,5,Permanent,Aston Martin,1.0,,,,,,,,,0.1
2024,TSU,Shanghai,5,Permanent,RB,12.0,,,,,,,Retired,R,1.2000000000000002
2024,VER,Shanghai,5,Permanent,Red Bull,3.0,,,,,,,,,0.30000000000000004
2024,ZHO,Shanghai,5,Permanent,Sauber,11.0,,,,,,,,,1.1
2024,ALB,Miami,6,Street,Williams,14.0,,,,,,,,,1.4000000000000001
2024,ALO,Miami,6,Street,Aston Martin,19.0,,,,,,,,,1.9000000000000001
2024,BOT,Miami,6,Street,Sauber,17.0,,,,,,,,,1.7000000000000002
2024,GAS,Miami,6,Street,Alpine,10.0,,,,,,,,,1.0
2024,HAM,Miami,6,Street,Mercedes,7.0,,,,,,,,,0.7000000000000001
2024,HUL,Miami,6,Street,Haas,13.0,,,,,,,,,1.3
2024,LEC,Miami,6,Street,Ferrari,20.0,,,,,,,,,2.0
2024,MAG,Miami,6,Street,Haas,12.0,,,,,,,,,1.2000000000000002
2024,NOR,Miami,6,Street,McLaren,16.0,,,,,,,,,1.6
2024,OCO,Miami,6,Street,Alpine,9.0,,,,,,,,,0.9
2024,PER,Miami,6,Street,Red Bull,6.0,,,,,,,,,0.6000000000000001
2024,PIA,Miami,6,Street,McLaren,2.0,,,,,,,,,0.2
2024,RIC,Miami,6,Street,RB,11.0,,,,,,,,,1.1
2024,RUS,Miami,6,Street,Mercedes,4.0,,,,,,,,,0.4
2024,SAI,Miami,6,Street,Ferrari,3.0,,,,,,,,,0.30000000000000004
2024,SAR,Miami,6,Street,Williams,18.0,,,,,,,Retired,R,1.8
2024,STR,Miami,6,Street,Aston Martin,5.0,,,,,,,,,0.5
2024,TSU,Miami,6,Street,RB,8.0,,,,,,,,,0.8
2024,VER,Miami,6,Street,Red Bull,1.0,,,,,,,,,0.1
2024,ZHO,Miami,6,Street,Sauber,15.0,,,,,,,,,1.5
2024,ALB,Imola,7,Permanent,Williams,19.0,18.0,7.0,,,,,Retired,R,8.3
2024,ALO,Imola,7,Permanent,Aston Martin,10.0,10.0,18.0,,,,,Lapped,19,10.2
2024,BOT,Imola,7,Permanent,Sauber,16.0,16.0,14.0,,,,,Lapped,18,10.400000000000002
2024,GAS,Imola,7,Permanent,Alpine,11.0,15.0,19.0,,,,,Lapped,16,11.7
2024,HAM,Imola,7,Permanent,Mercedes,7.0,4.0,17.0,,,,,,,8.3
2024,HUL,Imola,7,Permanent,Haas,20.0,9.0,10.0,,,,,Lapped,11,7.8
2024,LEC,Imola,7,Permanent,Ferrari,1.0,1.0,4.0,,,,,,,1.9000000000000001
2024,MAG,Imola,7,Permanent,Haas,,17.0,16.0,,,,,Lapped,12,9.8
2024,NOR,Imola,7,Permanent,McLaren,8.0,12.0,2.0,,,,,,,4.0
2024,OCO,Imola,7,Permanent,Alpine,14.0,14.0,8.0,,,,,Lapped,14,7.4
2024,PER,Imola,7,Permanent,Red Bull,4.0,8.0,12.0,,,,,,,6.800000000000001
2024,PIA,Imola,7,Permanent,McLaren,9.0,2.0,1.0,,,,,,,1.7000000000000002
2024,RIC,Imola,7,Permanent,RB,13.0,11.0,11.0,,,,,Lapped,13,7.9
2024,RUS,Imola,7,Permanent,Mercedes,2.0,5.0,5.0,,,,,,,3.2
2024,SAI,Imola,7,Permanent,Ferrari,3.0,6.0,3.0,,,,,,,2.7
2024,SAR,Imola,7,Permanent,Williams,18.0,20.0,15.0,,,,,Lapped,17,11.8
2024,STR,Imola,7,Permanent,Aston Martin,12.0,13.0,9.0,,,,,,,7.4
2024,TSU,Imola,7,Permanent,RB,6.0,3.0,13.0,,,,,Lapped,10,6.4
2024,VER,Imola,7,Permanent,Red Bull,5.0,7.0,6.0,,,,,,,4.300000000000001
2024,ZHO,Imola,7,Permanent,Sauber,17.0,19.0,20.0,,,,,Lapped,15,13.5
2024,ALB,Monte Carlo,9,Street,Williams,,9.0,18.0,,,,,Retired,R,9.0
2024,ALB,Montreal,9,Street,Williams,,9.0,18.0,,,,,Retired,R,9.0
2024,ALO,Monte Carlo,9,Street,Aston Martin,15.0,1.0,8.0,,,,,,,4.9
2024,ALO,Montreal,9,Street,Aston Martin,15.0,1.0,8.0,,,,,,,4.9
2024,BOT,Monte Carlo,9,Street,Sauber,8.0,14.0,13.0,,,,,,,8.8
2024,BOT,Montreal,9,Street,Sauber,8.0,14.0,13.0,,,,,,,8.8
2024,GAS,Monte Carlo,9,Street,Alpine,7.0,19.0,16.0,,,,,,,10.9
2024,GAS,Montreal,9,Street,Alpine,7.0,19.0,16.0,,,,,,,10.9
2024,HAM,Monte Carlo,9,Street,Mercedes,4.0,7.0,1.0,,,,,,,2.2
2024,HAM,Montreal,9,Street,Mercedes,4.0,7.0,1.0,,,,,,,2.2
2024,HUL,Montreal,9,Street,Haas,14.0,15.0,17.0,,,,,,,11.200000000000001
2024,LEC,Monte Carlo,9,Street,Ferrari,3.0,4.0,10.0,,,,,Retired,R,5.1
2024,LEC,Montreal,9,Street,Ferrari,3.0,4.0,10.0,,,,,Retired,R,5.1
2024,MAG,Montreal,9,Street,Haas,13.0,6.0,11.0,,,,,,,6.9
2024,NOR,Monte Carlo,9,Street,McLaren,1.0,20.0,7.0,,,,,,,6.9
2024,NOR,Montreal,9,Street,McLaren,1.0,20.0,7.0,,,,,,,6.9
2024,OCO,Montreal,9,Street,Alpine,,11.0,19.0,,,,,,,9.8
2024,PER,Montreal,9,Street,Red Bull,9.0,10.0,9.0,,,,,Retired,R,6.5
2024,PIA,Monte Carlo,9,Street,McLaren,6.0,16.0,5.0,,,,,,,5.800000000000001
2024,PIA,Montreal,9,Street,McLaren,6.0,16.0,5.0,,,,,,,5.800000000000001
2024,RIC,Monte Carlo,9,Street,RB,11.0,5.0,6.0,,,,,,,4.5
2024,RIC,Montreal,9,Street,RB,11.0,5.0,6.0,,,,,,,4.5
2024,RUS,Monte Carlo,9,Street,Mercedes,10.0,2.0,3.0,,,,,,,2.6
2024,RUS,Montreal,9,Street,Mercedes,10.0,2.0,3.0,,,,,,,2.6
2024,SAI,Monte Carlo,9,Street,Ferrari,2.0,13.0,12.0,,,,,Retired,R,7.600000000000001
2024,SAI,Montreal,9,Street,Ferrari,2.0,13.0,12.0,,,,,Retired,R,7.600000000000001
2024,SAR,Monte Carlo,9,Street,Williams,16.0,12.0,14.0,,,,,Retired,R,9.600000000000001
2024,SAR,Montreal,9,Street,Williams,16.0,12.0,14.0,,,,,Retired,R,9.600000000000001
2024,STR,Monte Carlo,9,Street,Aston Martin,17.0,3.0,4.0,,,,,,,3.9000000000000004
2024,STR,Montreal,9,Street,Aston Martin,17.0,3.0,4.0,,,,,,,3.9000000000000004
2024,TSU,Monte Carlo,9,Street,RB,12.0,8.0,15.0,,,,,,,8.8
2024,TSU,Montreal,9,Street,RB,12.0,8.0,15.0,,,,,,,8.8
2024,VER,Monte Carlo,9,Street,Red Bull,5.0,18.0,2.0,,,,,,,4.8999999999999995
2024,VER,Montreal,9,Street,Red Bull,5.0,18.0,2.0,,,,,,,4.8999999999999995
2024,ZHO,Monte Carlo,9,Street,Sauber,,17.0,20.0,,,,,Lapped,15,11.4
2024,ZHO,Montreal,9,Street,Sauber,,17.0,20.0,,,,,Lapped,15,11.4
2024,ALB,Spielberg,11,Permanent,Williams,18.0,,,,,,,Lapped,15,1.8
2024,ALO,Spielberg,11,Permanent,Aston Martin,10.0,,,,,,,Lapped,18,1.0
2024,BOT,Spielberg,11,Permanent,Sauber,15.0,,,,,,,Lapped,16,1.5
2024,GAS,Spielberg,11,Permanent,Alpine,11.0,,,,,,,,,1.1
2024,HAM,Spielberg,11,Permanent,Mercedes,5.0,,,,,,,,,0.5
2024,HUL,Spielberg,11,Permanent,Haas,17.0,,,,,,,,,1.7000000000000002
2024,LEC,Spielberg,11,Permanent,Ferrari,3.0,,,,,,,,,0.30000000000000004
2024,MAG,Spielberg,11,Permanent,Haas,19.0,,,,,,,,,1.9000000000000001
2024,NOR,Spielberg,11,Permanent,McLaren,13.0,,,,,,,Lapped,20,1.3
2024,OCO,Spielberg,11,Permanent,Alpine,6.0,,,,,,,,,0.6000000000000001
2024,PER,Spielberg,11,Permanent,Red Bull,12.0,,,,,,,,,1.2000000000000002
2024,PIA,Spielberg,11,Permanent,McLaren,2.0,,,,,,,,,0.2
2024,RIC,Spielberg,11,Permanent,RB,16.0,,,,,,,,,1.6
2024,RUS,Spielberg,11,Permanent,Mercedes,8.0,,,,,,,,,0.8
2024,SAI,Spielberg,11,Permanent,Ferrari,4.0,,,,,,,,,0.4
2024,SAR,Spielberg,11,Permanent,Williams,20.0,,,,,,,Lapped,19,2.0
2024,STR,Spielberg,11,Permanent,Aston Martin,7.0,,,,,,,Lapped,13,0.7000000000000001
2024,TSU,Spielberg,11,Permanent,RB,9.0,,,,,,,Lapped,14,0.9
2024,VER,Spielberg,11,Permanent,Red Bull,1.0,,,,,,,,,0.1
2024,ZHO,Spielberg,11,Permanent,Sauber,14.0,,,,,,,Lapped,17,1.4000000000000001
2024,ALB,Silverstone,12,Permanent,Williams,16.0,13.0,11.0,,,,,,,8.600000000000001
