season,race_name,round,circuit_type,team,driver,stint_index,compound,start_lap,end_lap,stint_length_laps,pit_ended_stint,avg_laptime,best_laptime,delta_laptime_first_to_last,laptime_slope_per_lap,avg_throttle_pct,avg_speed,max_speed,min_corner_speed,laps_in_traffic,traffic_lap_pct,avg_interval_to_car_ahead,clean_air_avg_laptime
2024,Miami,6,Street,Red Bull,PER,3,MEDIUM,29,57,29,False,96.63431034482757,90.855,-46.846999999999994,-0.9102108374384247,59.269262139920755,198.96045130441843,345.0,0.0,22,0.7586206896551724,2.482464285714286,98.11671428571428
2024,Miami,6,Street,Red Bull,VER,1,MEDIUM,2,23,22,True,93.85940909090908,92.53,18.845,0.20767080745341507,62.90484839250798,204.79063868784436,319.0,53.0,22,1.0,0.0,
2024,Miami,6,Street,Red Bull,VER,2,HARD,24,57,34,False,97.00714705882353,91.261,-15.388000000000005,-0.6146067226890747,59.79119827012106,198.28806915852306,322.0,0.0,9,0.2647058823529412,7.078529411764706,96.43124
2024,Miami,6,Street,Sauber,BOT,1,SOFT,2,11,10,True,95.1163,93.828,3.8530000000000086,0.23709696969697913,62.64496077433187,202.51742106937905,345.0,53.0,10,1.0,0.8495000000000001,
2024,Miami,6,Street,Sauber,BOT,2,HARD,12,29,18,True,98.84683333333334,93.4,21.176999999999992,0.7882920536635737,59.83743714348944,194.88052036360145,324.0,0.0,1,0.05555555555555555,4.214166666666666,98.96794117647059
2024,Miami,6,Street,Sauber,BOT,3,MEDIUM,30,57,28,False,95.21578571428572,92.098,-26.796000000000006,-0.46697318007662564,61.48906722575948,202.13657690557133,339.0,0.0,26,0.9285714285714286,2.0993214285714283,111.0005
2024,Miami,6,Street,Sauber,ZHO,1,MEDIUM,2,28,27,True,95.47944444444445,93.485,16.843000000000004,0.1800079365079377,61.36097082686333,201.7560010174359,345.0,41.0,22,0.8148148148148148,3.2966296296296296,95.4666
2024,Miami,6,Street,Sauber,ZHO,2,SOFT,29,57,29,False,97.13324137931035,91.991,-46.36200000000001,-0.7773965517241388,59.98925213576633,198.2263586816477,351.0,0.0,25,0.8620689655172413,1.2705714285714287,97.33774999999999
2024,Miami,6,Street,Williams,ALB,1,MEDIUM,2,10,9,True,94.87366666666667,93.889,4.676000000000002,0.3168166666666571,57.87630257788908,202.8246043643769,355.0,56.0,9,1.0,0.8445555555555555,
2024,Miami,6,Street,Williams,ALB,2,HARD,11,53,43,True,97.37358139534882,92.552,-1.215999999999994,-0.08293204469948812,55.08254960350414,197.552686582389,350.0,0.0,39,0.9069767441860465,1.37290243902439,106.12075
2024,Miami,6,Street,Williams,ALB,3,SOFT,54,57,4,False,95.2705,90.849,-15.62599999999999,-4.566400000000017,59.40479552185956,200.83519051578335,328.0,0.0,0,0.0,24.27075,95.2705
2024,Miami,6,Street,Williams,SAR,1,MEDIUM,2,11,10,True,94.99780000000001,93.833,4.0249999999999915,0.22870303030303227,59.05524063544463,202.06859266247864,350.0,56.0,10,1.0,0.8968999999999999,
2024,Miami,6,Street,Williams,SAR,2,HARD,12,27,16,False,95.57762500000001,93.452,-15.292999999999992,-0.20618235294117304,59.29793766402984,201.18352068623932,334.0,0.0,15,0.9375,1.84875,108.848
2024,Monte Carlo,9,Street,Alpine,GAS,2,MEDIUM,2,77,76,False,81.02763157894736,75.625,-63.992999999999995,-0.11834064251537886,53.07071425205036,171.6424457631005,333.0,0.0,26,0.34210526315789475,5.332513157894738,80.73774
2024,Monte Carlo,9,Street,Aston Martin,ALO,2,MEDIUM,2,76,75,False,81.14965333333333,77.939,-45.518,-0.1041679374110964,50.893627723106384,170.87436785874306,327.0,0.0,20,0.26666666666666666,9.10491891891892,80.89276363636361
