season,race_name,round,circuit_type,team,avg_race_pace,clean_air_avg_race_pace,top_speed,cornering_speed,top_speed_rank,corner_speed_rank,drag_index,avg_stint_length,stints_soft,stints_medium,stints_hard,deg_soft_slope,deg_medium_slope,deg_hard_slope,dropoff_soft,dropoff_medium,dropoff_hard,avg_throttle_pct,avg_speed,traffic_lap_pct,avg_interval_to_car_ahead,clean_air_pace_advantage
2024,Mexico City,20,Permanent,Alpine,86.34047826086957,83.57274139492753,357.0,13.0,4.0,5.0,-1.0,34.5,0,2,2,,-0.8708136259875398,-0.313380140797981,,-34.931999999999995,-35.68299999999999,53.281797234318695,177.33297857108576,0.6304347826086957,3.7929821799555845,-2.767736865942041
2024,Mexico City,20,Permanent,Aston Martin,88.64397590361446,94.96764146586345,355.0,16.0,7.0,1.0,6.0,27.666666666666668,0,2,1,,-3.134311483516485,-0.0918968287526437,,-49.47449999999999,-20.019999999999996,49.183070231266235,173.139821903098,0.4457831325301205,3.3465257142857148,6.323665562248991
2024,Mexico City,20,Permanent,Ferrari,85.19955,82.1349355212355,351.0,11.4,10.0,7.0,3.0,28.0,1,2,2,-20.80600000000001,-1.3094309162958835,-0.0726139019586394,-20.805999999999997,-52.54400000000001,-17.5235,55.523660876135544,179.6308309609703,0.65,8.258023870967742,-3.064614478764497
2024,Mexico City,20,Permanent,Haas,85.91786330935251,83.55524996809275,358.0,15.0,3.0,2.0,1.0,34.75,0,2,2,,-1.3874911877394616,-0.08993562717769796,,-50.4955,-17.959000000000003,52.05183624740687,178.45362588524327,0.4244604316546763,3.9783788590352036,-2.3626133412597596
2024,Mexico City,20,Permanent,McLaren,85.2749,81.86294690655211,361.0,12.75,1.0,6.0,-5.0,35.0,0,2,2,,-1.1253008120882901,-0.11173952768808519,,-52.8245,-18.861999999999995,51.968460077336346,179.47061527560413,0.5357142857142857,3.2035594669791863,-3.4119530934478917
2024,Mexico City,20,Permanent,Mercedes,85.55535,85.74123423469389,359.0,14.75,2.0,3.0,-1.0,35.0,0,2,2,,-1.4507792829775599,-0.0806269581099566,,-51.9295,-20.86250000000001,53.93555261065047,178.86051840988824,0.4857142857142857,7.318009762803948,0.18588423469388715
2024,Mexico City,20,Permanent,RB,86.94681159420288,83.74707971014494,354.0,10.333333333333334,8.0,9.0,-1.0,23.0,1,1,1,-4.544499999999988,-0.1113193162393167,-0.8159418973629522,-23.89999999999999,-12.74799999999999,-52.06099999999999,55.477352022754424,175.53108664039348,0.8985507246376812,2.0296194331983806,-3.1997318840579396
2024,Mexico City,20,Permanent,Red Bull,86.41756834532374,83.66549324305262,356.0,10.0,5.0,10.0,-5.0,23.166666666666668,1,3,2,-21.007999999999992,-0.6892918364244464,-1.4273086783163436,-21.007999999999996,-28.746,-43.8935,52.55429949150887,176.96783444374617,0.48201438848920863,6.440497905754725,-2.752075102271121
2024,Mexico City,20,Permanent,Sauber,86.6135579710145,85.91391978021976,356.0,13.5,5.0,4.0,1.0,34.5,0,2,2,,-0.18081355311355404,-0.5924335998121022,,-19.2085,-51.08999999999999,52.41698104176203,176.85916107570299,0.5579710144927537,6.174705191798942,-0.6996381907947438
2024,Mexico City,20,Permanent,Williams,86.30172463768116,83.28006837606837,353.0,11.0,9.0,8.0,1.0,34.5,0,1,1,,-0.1812015810276692,-0.5784076472402092,,-21.322000000000003,-50.38300000000001,50.329311429180144,177.009113698747,0.6811594202898551,2.8744891304347835,-3.02165626161279
