# x_m,y_m,w_tr_right_m,w_tr_left_m
-9130.225835,1095.611546,7.500000,7.500000
-9151.347835,1046.204950,7.500000,7.500000
-9172.651685,996.877589,7.500000,7.500000
-9193.552025,947.376784,7.500000,7.500000
-9214.452365,897.875978,7.500000,7.500000
-9236.772825,849.013099,7.500000,7.500000
-9259.896010,800.510808,7.500000,7.500000
-9284.666236,752.834151,7.500000,7.500000
-9312.612811,707.003935,7.500000,7.500000
-9342.017747,662.031681,7.500000,7.500000
-9372.897681,618.127898,7.500000,7.500000
-9412.674118,582.146709,7.500000,7.500000
-9453.923426,548.092730,7.500000,7.500000
-9505.241164,532.166535,7.500000,7.500000
-9557.253912,524.625533,7.500000,7.500000
-9609.259497,537.143721,7.500000,7.500000
-9656.263998,563.176984,7.500000,7.500000
-9698.934055,595.309417,7.500000,7.500000
-9738.977542,631.137801,7.500000,7.500000
-9779.021030,666.966184,7.500000,7.500000
-9817.794568,704.064517,7.500000,7.500000
-9853.255990,744.427938,7.500000,7.500000
-9888.042809,785.379509,7.500000,7.500000
-9922.622411,826.496548,7.500000,7.500000
-9954.861757,869.482343,7.500000,7.500000
-9987.240747,912.362803,7.500000,7.500000
-10019.715788,955.170812,7.500000,7.500000
-10052.190830,997.978821,7.500000,7.500000
-10085.629100,1040.036375,7.500000,7.500000
-10119.195366,1081.994208,7.500000,7.500000
-10152.761633,1123.952041,7.500000,7.500000
-10187.160092,1165.223266,7.500000,7.500000
-10222.009078,1206.121198,7.500000,7.500000
-10257.954054,1246.060060,7.500000,7.500000
-10294.362348,1285.572494,7.500000,7.500000
-10331.188530,1324.700313,7.500000,7.500000
-10369.898311,1361.939967,7.500000,7.500000
-10409.115202,1398.671281,7.500000,7.500000
-10448.332093,1435.402594,7.500000,7.500000
-10488.223734,1471.322751,7.500000,7.500000
-10531.481190,1503.196666,7.500000,7.500000
-10574.738646,1535.070581,7.500000,7.500000
-10621.930173,1560.731632,7.500000,7.500000
-10669.239860,1586.206079,7.500000,7.500000
-10718.681130,1607.065282,7.500000,7.500000
-10768.749934,1626.565764,7.500000,7.500000
-10821.295865,1637.248114,7.500000,7.500000
-10874.195121,1646.672694,7.500000,7.500000
