# x_m,y_m,w_tr_right_m,w_tr_left_m
894.634016,9873.023743,7.500000,7.500000
915.443698,9818.755818,7.500000,7.500000
932.764881,9763.233121,7.500000,7.500000
950.086064,9707.710424,7.500000,7.500000
967.407247,9652.187727,7.500000,7.500000
984.611665,9596.631760,7.500000,7.500000
999.156295,9540.317934,7.500000,7.500000
1013.700926,9484.004108,7.500000,7.500000
1027.419860,9427.494749,7.500000,7.500000
1039.675038,9370.638757,7.500000,7.500000
1051.930217,9313.782764,7.500000,7.500000
1064.185395,9256.926772,7.500000,7.500000
1076.440574,9200.070780,7.500000,7.500000
1088.301598,9143.133545,7.500000,7.500000
1099.528094,9086.065524,7.500000,7.500000
1110.428107,9028.937213,7.500000,7.500000
1120.324004,8971.623475,7.500000,7.500000
1130.219901,8914.309738,7.500000,7.500000
1138.363686,8856.726904,7.500000,7.500000
1146.123167,8799.085046,7.500000,7.500000
1153.531109,8741.405399,7.500000,7.500000
1158.200162,8683.431326,7.500000,7.500000
1162.869215,8625.457252,7.500000,7.500000
1164.666310,8567.382892,7.500000,7.500000
1164.052500,8509.224346,7.500000,7.500000
1163.438689,8451.065800,7.500000,7.500000
1162.824879,8392.907254,7.500000,7.500000
1162.211068,8334.748707,7.500000,7.500000
1161.597258,8276.590161,7.500000,7.500000
1160.885540,8218.435710,7.500000,7.500000
1156.641146,8160.429000,7.500000,7.500000
1152.396753,8102.422290,7.500000,7.500000
1148.152360,8044.415580,7.500000,7.500000
1143.907966,7986.408870,7.500000,7.500000
1139.588120,7928.408304,7.500000,7.500000
1134.391814,7870.479109,7.500000,7.500000
1129.195507,7812.549914,7.500000,7.500000
1123.999201,7754.620719,7.500000,7.500000
1118.802894,7696.691524,7.500000,7.500000
1113.606588,7638.762328,7.500000,7.500000
1105.501653,7581.177873,7.500000,7.500000
1097.012308,7523.638979,7.500000,7.500000
1088.522963,7466.100086,7.500000,7.500000
1074.490604,7409.777191,7.500000,7.500000
1058.114308,7353.968499,7.500000,7.500000
1041.738013,7298.159806,7.500000,7.500000
1025.361717,7242.351113,7.500000,7.500000
1008.751888,7186.619697,7.500000,7.500000
988.606153,7132.058332,7.500000,7.500000
968.460418,7077.496966,7.500000,7.500000
948.314683,7022.935600,7.500000,7.500000
928.675679,6968.192576,7.500000,7.500000
909.568332,6913.258956,7.500000,7.500000
890.460986,6858.325336,7.500000,7.500000
871.353640,6803.391716,7.500000,7.500000
852.246294,6748.458096,7.500000,7.500000
833.640726,6693.355448,7.500000,7.500000
815.615378,6638.057346,7.500000,7.500000
797.590030,6582.759244,7.500000,7.500000
779.518480,6527.476314,7.500000,7.500000
761.250708,6472.257823,7.500000,7.500000
742.982937,6417.039331,7.500000,7.500000
724.715165,6361.820840,7.500000,7.500000
706.447394,6306.602349,7.500000,7.500000
687.660689,6251.562842,7.500000,7.500000
668.003003,6196.823746,7.500000,7.500000
648.345316,6142.084650,7.500000,7.500000
628.494836,6087.420647,7.500000,7.500000
605.949334,6033.806343,7.500000,7.500000
583.403832,5980.192039,7.500000,7.500000
560.858330,5926.577735,7.500000,7.500000
537.503763,5873.320630,7.500000,7.500000
