# x_m,y_m,w_tr_right_m,w_tr_left_m
-3523.060875,17334.994724,7.500000,7.500000
-3516.281069,17402.405376,7.500000,7.500000
-3509.501262,17469.816028,7.500000,7.500000
-3502.721455,17537.226680,7.500000,7.500000
-3495.941648,17604.637333,7.500000,7.500000
-3490.525462,17672.168988,7.500000,7.500000
-3485.329218,17739.720160,7.500000,7.500000
-3480.132974,17807.271333,7.500000,7.500000
-3476.199175,17874.904466,7.500000,7.500000
-3472.617388,17942.560454,7.500000,7.500000
-3469.035600,18010.216441,7.500000,7.500000
-3465.453813,18077.872428,7.500000,7.500000
-3461.872025,18145.528416,7.500000,7.500000
-3460.492539,18213.253570,7.500000,7.500000
-3459.821772,18281.000982,7.500000,7.500000
-3459.151006,18348.748395,7.500000,7.500000
-3460.066820,18416.487539,7.500000,7.500000
-3461.443583,18484.224282,7.500000,7.500000
-3462.820346,18551.961025,7.500000,7.500000
-3464.334276,18619.694010,7.500000,7.500000
-3466.669121,18687.404499,7.500000,7.500000
-3469.084405,18755.112103,7.500000,7.500000
-3471.606322,18822.815882,7.500000,7.500000
-3474.128240,18890.519661,7.500000,7.500000
-3476.650157,18958.223441,7.500000,7.500000
-3479.172074,19025.927220,7.500000,7.500000
-3481.915807,19093.621414,7.500000,7.500000
-3485.243788,19161.290361,7.500000,7.500000
-3488.571769,19228.959308,7.500000,7.500000
-3491.897534,19296.628364,7.500000,7.500000
-3495.221632,19364.297502,7.500000,7.500000
-3498.545730,19431.966639,7.500000,7.500000
-3501.869828,19499.635777,7.500000,7.500000
-3505.428955,19567.292230,7.500000,7.500000
-3508.749139,19634.961021,7.500000,7.500000
-3511.959004,19702.635674,7.500000,7.500000
-3515.168869,19770.310326,7.500000,7.500000
-3518.404239,19837.983728,7.500000,7.500000
-3521.830267,19905.647782,7.500000,7.500000
-3525.256295,19973.311835,7.500000,7.500000
-3528.682324,20040.975889,7.500000,7.500000
-3532.260559,20108.631957,7.500000,7.500000
-3535.933920,20176.283034,7.500000,7.500000
-3539.607282,20243.934111,7.500000,7.500000
-3543.543239,20311.569463,7.500000,7.500000
-3547.969820,20379.175433,7.500000,7.500000
-3552.396401,20446.781403,7.500000,7.500000
-3560.296613,20514.055663,7.500000,7.500000
-3568.745266,20581.277550,7.500000,7.500000
-3577.193918,20648.499437,7.500000,7.500000
-3585.642571,20715.721324,7.500000,7.500000
-3594.091223,20782.943211,7.500000,7.500000
-3603.982614,20849.945966,7.500000,7.500000
-3615.874663,20916.644849,7.500000,7.500000
-3627.766712,20983.343732,7.500000,7.500000
-3639.658761,21050.042615,7.500000,7.500000
-3653.722888,21116.287215,7.500000,7.500000
-3669.558032,21182.161414,7.500000,7.500000
-3685.393176,21248.035613,7.500000,7.500000
