# x_m,y_m,w_tr_right_m,w_tr_left_m
-4216.709072,4544.694345,7.500000,7.500000
-4242.954355,4598.437955,7.500000,7.500000
-4268.575192,4652.487391,7.500000,7.500000
-4294.196028,4706.536827,7.500000,7.500000
-4319.144241,4760.897795,7.500000,7.500000
-4343.797836,4815.395217,7.500000,7.500000
-4366.321489,4870.730802,7.500000,7.500000
-4385.419232,4927.414530,7.500000,7.500000
-4404.516976,4984.098257,7.500000,7.500000
-4423.614719,5040.781985,7.500000,7.500000
-4442.712462,5097.465713,7.500000,7.500000
-4457.060171,5155.293369,7.500000,7.500000
-4465.861338,5214.456772,7.500000,7.500000
-4471.663527,5273.882256,7.500000,7.500000
-4468.583732,5332.612639,7.500000,7.500000
-4441.291700,5385.837763,7.500000,7.500000
-4413.999669,5439.062886,7.500000,7.500000
-4386.707637,5492.288010,7.500000,7.500000
-4359.415606,5545.513134,7.500000,7.500000
-4332.123574,5598.738258,7.500000,7.500000
-4304.831543,5651.963382,7.500000,7.500000
-4277.539511,5705.188506,7.500000,7.500000
-4250.247479,5758.413629,7.500000,7.500000
-4214.826110,5803.898840,7.500000,7.500000
-4163.003714,5833.768693,7.500000,7.500000
-4111.181318,5863.638546,7.500000,7.500000
-4056.721609,5887.700502,7.500000,7.500000
-3999.612366,5905.001079,7.500000,7.500000
-3940.563383,5914.539761,7.500000,7.500000
-3881.508499,5923.980340,7.500000,7.500000
-3821.741840,5921.589674,7.500000,7.500000
-3761.975181,5919.199007,7.500000,7.500000
-3703.305280,5907.874067,7.500000,7.500000
-3644.793022,5895.539321,7.500000,7.500000
-3588.910676,5874.210182,7.500000,7.500000
-3533.028330,5852.881042,7.500000,7.500000
-3479.040809,5827.328882,7.500000,7.500000
-3425.955717,5799.765468,7.500000,7.500000
-3374.124326,5769.954760,7.500000,7.500000
-3322.784683,5739.262582,7.500000,7.500000
-3272.461512,5706.935313,7.500000,7.500000
-3222.219238,5674.477915,7.500000,7.500000
-3172.525783,5641.193391,7.500000,7.500000
-3123.093957,5607.514564,7.500000,7.500000
-3073.534828,5574.023498,7.500000,7.500000
-3023.904242,5540.638809,7.500000,7.500000
-2974.033546,5507.613326,7.500000,7.500000
-2924.162850,5474.587843,7.500000,7.500000
-2874.292155,5441.562360,7.500000,7.500000
-2824.421459,5408.536877,7.500000,7.500000
-2774.357222,5375.806554,7.500000,7.500000
-2724.189075,5343.234698,7.500000,7.500000
-2674.020928,5310.662841,7.500000,7.500000
-2623.824642,5278.134368,7.500000,7.500000
-2573.627771,5245.606796,7.500000,7.500000
-2523.477717,5213.007207,7.500000,7.500000
-2473.376497,5180.332498,7.500000,7.500000
-2422.878261,5148.279291,7.500000,7.500000
-2372.169212,5116.556095,7.500000,7.500000
-2321.460164,5084.832899,7.500000,7.500000
-2270.751115,5053.109702,7.500000,7.500000
-2219.006926,5023.178286,7.500000,7.500000
-2166.194700,4995.095595,7.500000,7.500000
-2112.907616,4968.166370,7.500000,7.500000
